0	1	0	0	0	0	0	0	1	1
0	1	0	0	0	0	0	0	1	1
0	1	0	0	0	0	0	0	1	1
0	1	0	0	0	0	0	0	1	1
0	1	0	0	0	0	0	0	1	0
0	1	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	1	1
0	1	0	0	0	0	0	0	1	0
0	1	0	0	0	0	0	0	1	0
0	1	0	0	0	0	0	0	1	1
0	1	0	0	0	0	0	0	1	1
0	1	0	0	0	0	0	0	1	1
0	1	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	1	1
0	1	0	0	0	0	0	0	1	1
0	1	0	0	0	0	0	0	1	1
0	1	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	1
0	1	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	1
0	1	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	-1	0	1
0	1	0	0	0	0	-1	-2	0	0
0	1	0	0	0	0	-1	-2	0	0
0	1	0	0	0	-2	-2	-5	0	0
0	1	0	0	0	-2	-6	-8	-1	0
0	1	0	0	0	-4	-6	-8	-1	0
0	1	0	0	0	-6	-20	-22	-4	-2
0	1	0	0	0	-6	-20	-22	-4	-2
0	1	0	0	0	-10	-43	-45	-14	-5
0	1	0	0	0	-16	-67	-71	-31	-13
0	1	0	0	0	-16	-67	-71	-31	-13
0	1	0	0	0	-30	-88	-85	-54	-24
0	1	0	0	0	-38	-102	-92	-69	-50
0	1	0	0	0	-42	-105	-95	-69	-50
0	1	0	0	0	-50	-101	-107	-92	-72
0	1	0	0	0	-50	-101	-107	-92	-72
0	1	0	0	0	-62	-95	-111	-106	-90
0	1	0	0	0	-83	-101	-114	-115	-102
0	1	0	0	0	-83	-101	-114	-115	-102
0	1	0	1	0	-93	-108	-114	-117	-107
0	1	0	1	0	-103	-112	-116	-119	-113
0	1	0	1	0	-103	-114	-117	-119	-114
0	1	0	1	0	-109	-115	-119	-120	-117
0	1	0	1	0	-109	-115	-119	-120	-117
0	1	0	1	0	-115	-116	-119	-122	-119
0	1	0	1	0	-117	-116	-117	-123	-119
0	1	0	1	0	-117	-116	-117	-123	-119
0	1	0	1	0	-115	-116	-117	-123	-119
0	1	0	1	0	-113	-115	-116	-123	-117
0	1	0	0	0	-113	-115	-116	-123	-117
0	1	0	1	0	-109	-114	-116	-122	-116
0	1	0	0	0	-109	-114	-116	-122	-116
0	0	-2	0	0	-103	-112	-115	-120	-114
