DATA LENGTH(steps) :
2489
STEP LENGTH(sec) :
0.005000

PCz,         PEL_Q0,      PEL_Q1,      PEL_Q2,      PEL_Q3,      WST,         RSP,         RSR,         RSY,         REP,         REY,         LSP,         LSR,         LSY,         LEP,         LEY,         PCzp,        wPELx,       wPELy,       wPELz,       WSTp,        RSPp,        RSRp,        RSYp,        REPp,        REYp,        LSPp,        LSRp,        LSYp,        LEPp,        LEYp,        PCzpp,       WSTpp,       RSPpp,       RSRpp,       RSYpp,       REPpp,       REYpp,       LSPpp,       LSRpp,       LSYpp,       LEPpp,       LEYpp
0.621028     1.000000     -0.000140    0.000131     0.000078     -0.022928    0.208807     -0.643289    0.018779     -0.633673    0.000729     0.104955     0.587561     -0.127628    -0.610013    0.002924     0.000678     -0.002611    0.004011     0.027403     -0.026578    -0.001676    0.014819     -0.004469    -0.011638    -0.023424    0.000134     0.009057     -0.004065    0.016103     0.025399     0.005578     0.056505     0.628764     -0.380345    0.252795     -0.334163    -1.142220    -0.871982    -0.400499    -0.686027    0.142636     -0.710529   
0.621032     1.000000     -0.000146    0.000141     0.000152     -0.023060    0.208806     -0.643220    0.018760     -0.633735    0.000598     0.104945     0.587601     -0.127657    -0.609931    0.003042     0.000709     -0.002213    0.003952     0.031614     -0.026238    0.001446     0.012912     -0.003282    -0.013329    -0.029084    -0.004201    0.007067     -0.007479    0.016779     0.021907     0.006951     0.079622     0.620294     -0.382496    0.222372     -0.342045    -1.121542    -0.861994    -0.395627    -0.679769    0.127787     -0.686202   
0.621036     1.000000     -0.000152    0.000151     0.000236     -0.023190    0.208821     -0.643160    0.018746     -0.633806    0.000439     0.104913     0.587631     -0.127703    -0.609845    0.003143     0.000746     -0.001957    0.003895     0.035710     -0.025766    0.004521     0.010993     -0.002251    -0.015050    -0.034645    -0.008483    0.005109     -0.010882    0.017378     0.018539     0.007973     0.109306     0.609441     -0.385023    0.189770     -0.346601    -1.102739    -0.851154    -0.387536    -0.681436    0.111831     -0.660914   
0.621039     1.000000     -0.000156    0.000161     0.000331     -0.023318    0.208851     -0.643110    0.018738     -0.633886    0.000252     0.104860     0.587652     -0.127766    -0.609757    0.003228     0.000787     -0.001711    0.003832     0.039758     -0.025242    0.007473     0.008978     -0.001217    -0.016708    -0.040133    -0.012723    0.003189     -0.014278    0.017938     0.015316     0.008300     0.100358     0.571283     -0.420965    0.223846     -0.316462    -1.092441    -0.844672    -0.380510    -0.677016    0.112130     -0.628374   
0.621043     1.000000     -0.000160    0.000170     0.000435     -0.023443    0.208896     -0.643070    0.018734     -0.633973    0.000037     0.104786     0.587663     -0.127846    -0.609666    0.003296     0.000825     -0.001334    0.003761     0.043844     -0.024768    0.010229     0.006775     -0.000013    -0.018213    -0.045547    -0.016936    0.001301     -0.017649    0.018506     0.012274     0.006699     0.088934     0.531148     -0.460524    0.257722     -0.285733    -1.073476    -0.840626    -0.374364    -0.671295    0.115145     -0.588597   
0.621048     1.000000     -0.000163    0.000180     0.000550     -0.023565    0.208954     -0.643042    0.018737     -0.634068    -0.000204    0.104691     0.587665     -0.127942    -0.609572    0.003350     0.000852     -0.000921    0.003691     0.047920     -0.024280    0.012833     0.004421     0.001191     -0.019646    -0.050759    -0.021143    -0.000561    -0.020993    0.019076     0.009485     0.004161     0.106242     0.510410     -0.481137    0.224113     -0.287338    -1.011336    -0.841970    -0.370676    -0.666456    0.112765     -0.527117   
0.621052     1.000000     -0.000165    0.000189     0.000675     -0.023686    0.209024     -0.643026    0.018746     -0.634170    -0.000470    0.104575     0.587658     -0.128056    -0.609475    0.003391     0.000872     -0.000582    0.003630     0.051930     -0.023703    0.015329     0.001968     0.002205     -0.021090    -0.055653    -0.025344    -0.002404    -0.024298    0.019619     0.006997     0.004128     0.124706     0.488362     -0.500025    0.181277     -0.290274    -0.946303    -0.838616    -0.366334    -0.655227    0.104595     -0.468000   
0.621056     1.000000     -0.000166    0.000198     0.000810     -0.023802    0.209107     -0.643023    0.018759     -0.634279    -0.000760    0.104438     0.587641     -0.128185    -0.609376    0.003420     0.000897     -0.000276    0.003563     0.055909     -0.023094    0.017655     -0.000610    0.003081     -0.022481    -0.060301    -0.029468    -0.004212    -0.027480    0.020077     0.004727     0.005839     0.119068     0.441676     -0.530957    0.169012     -0.266200    -0.912877    -0.811078    -0.356918    -0.617555    0.078655     -0.440040   
0.621061     1.000000     -0.000166    0.000207     0.000954     -0.023916    0.209201     -0.643032    0.018777     -0.634394    -0.001073    0.104280     0.587615     -0.128330    -0.609274    0.003438     0.000929     0.000063     0.003477     0.059900     -0.022520    0.019732     -0.003359    0.003919     -0.023744    -0.064775    -0.033447    -0.005974    -0.030458    0.020398     0.002608     0.006654     0.110308     0.389142     -0.568538    0.166469     -0.238813    -0.876453    -0.780189    -0.347875    -0.573697    0.049487     -0.407592   
0.621066     0.999999     -0.000166    0.000215     0.001109     -0.024028    0.209304     -0.643056    0.018799     -0.634516    -0.001408    0.104103     0.587581     -0.128490    -0.609172    0.003446     0.000961     0.000453     0.003382     0.063874     -0.021961    0.021549     -0.006332    0.004766     -0.024904    -0.068957    -0.037297    -0.007707    -0.033221    0.020584     0.000773     0.006445     0.113163     0.337851     -0.620671    0.172240     -0.225187    -0.796433    -0.760079    -0.345397    -0.531538    0.025172     -0.326038   
0.621071     0.999999     -0.000164    0.000223     0.001274     -0.024136    0.209416     -0.643096    0.018825     -0.634643    -0.001763    0.103907     0.587538     -0.128663    -0.609068    0.003446     0.000989     0.000881     0.003290     0.067791     -0.021374    0.023112     -0.009559    0.005602     -0.025999    -0.072716    -0.041061    -0.009421    -0.035805    0.020667     -0.000650    0.004778     0.121940     0.287244     -0.670411    0.162163     -0.212847    -0.707179    -0.745551    -0.340285    -0.502318    0.007729     -0.243399   
0.621076     0.999999     -0.000161    0.000231     0.001448     -0.024241    0.209535     -0.643152    0.018855     -0.634776    -0.002135    0.103692     0.587487     -0.128848    -0.608965    0.003440     0.001007     0.001267     0.003202     0.071633     -0.020712    0.024425     -0.012975    0.006208     -0.027011    -0.076045    -0.044782    -0.011067    -0.038369    0.020718     -0.001772    0.002480     0.142787     0.238132     -0.696028    0.080381     -0.191891    -0.624587    -0.742569    -0.318070    -0.523154    0.012927     -0.205527   
0.621081     0.999999     -0.000158    0.000239     0.001632     -0.024343    0.209660     -0.643225    0.018887     -0.634914    -0.002523    0.103459     0.587428     -0.129046    -0.608861    0.003428     0.001020     0.001552     0.003115     0.075395     -0.019953    0.025491     -0.016520    0.006394     -0.027913    -0.078949    -0.048473    -0.012602    -0.041015    0.020777     -0.002711    0.002388     0.160903     0.188224     -0.721623    -0.006236    -0.169078    -0.536947    -0.733873    -0.295725    -0.535115    0.010714     -0.169761   
0.621086     0.999998     -0.000154    0.000247     0.001825     -0.024441    0.209790     -0.643317    0.018919     -0.635055    -0.002925    0.103208     0.587361     -0.129258    -0.608757    0.003413     0.001035     0.001846     0.003021     0.079122     -0.019160    0.026296     -0.020252    0.006277     -0.028704    -0.081348    -0.052034    -0.014066    -0.043506    0.020695     -0.003379    0.003572     0.156026     0.133634     -0.771251    -0.040484    -0.147459    -0.422448    -0.690775    -0.289962    -0.461521    -0.043777    -0.097650   
0.621091     0.999998     -0.000149    0.000254     0.002027     -0.024535    0.209923     -0.643428    0.018950     -0.635201    -0.003337    0.102939     0.587287     -0.129481    -0.608654    0.003395     0.001050     0.002255     0.002911     0.082842     -0.018393    0.026817     -0.024244    0.005998     -0.029390    -0.083168    -0.055371    -0.015501    -0.045618    0.020332     -0.003689    0.002766     0.150769     0.075042     -0.825600    -0.070948    -0.126913    -0.305798    -0.644020    -0.283946    -0.383243    -0.101455    -0.026219   
0.621096     0.999997     -0.000142    0.000261     0.002239     -0.024625    0.210058     -0.643560    0.018979     -0.635349    -0.003757    0.102654     0.587206     -0.129714    -0.608554    0.003376     0.001059     0.002711     0.002781     0.086492     -0.017599    0.027018     -0.028495    0.005474     -0.029981    -0.084451    -0.058524    -0.016861    -0.047506    0.019779     -0.003739    0.000832     0.166987     0.005127     -0.874797    -0.138642    -0.109473    -0.207396    -0.617033    -0.260329    -0.371789    -0.119601    0.006150    
0.621102     0.999997     -0.000135    0.000268     0.002460     -0.024711    0.210194     -0.643713    0.019004     -0.635500    -0.004181    0.102354     0.587118     -0.129956    -0.608457    0.003357     0.001064     0.003121     0.002634     0.090007     -0.016717    0.026868     -0.032988    0.004593     -0.030479    -0.085230    -0.061551    -0.018104    -0.049349    0.019149     -0.003631    0.000919     0.185786     -0.065112    -0.922428    -0.213901    -0.089707    -0.104087    -0.593848    -0.236797    -0.365593    -0.132530    0.037097    
0.621107     0.999996     -0.000127    0.000274     0.002689     -0.024792    0.210327     -0.643889    0.019025     -0.635654    -0.004609    0.102038     0.587025     -0.130208    -0.608362    0.003340     0.001072     0.003485     0.002473     0.093420     -0.015769    0.026392     -0.037716    0.003353     -0.030847    -0.085397    -0.064451    -0.019274    -0.051047    0.018407     -0.003285    0.002217     0.193439     -0.125328    -0.968947    -0.282185    -0.057533    0.037101     -0.566096    -0.231206    -0.313611    -0.164115    0.101421    
0.621112     0.999996     -0.000118    0.000280     0.002927     -0.024868    0.210458     -0.644090    0.019038     -0.635809    -0.005035    0.101709     0.586926     -0.130467    -0.608272    0.003324     0.001082     0.003822     0.002305     0.096775     -0.014786    0.025620     -0.042670    0.001754     -0.031059    -0.084861    -0.067207    -0.020412    -0.052477    0.017497     -0.002618    0.001744     0.199694     -0.183377    -1.012680    -0.357249    -0.027141    0.177440     -0.536125    -0.224119    -0.258251    -0.199793    0.165179    
0.621118     0.999995     -0.000108    0.000286     0.003173     -0.024940    0.210583     -0.644316    0.019042     -0.635965    -0.005457    0.101366     0.586821     -0.130733    -0.608187    0.003313     0.001086     0.004140     0.002126     0.100062     -0.013758    0.024555     -0.047818    -0.000305    -0.031168    -0.083726    -0.069802    -0.021455    -0.053711    0.016415     -0.001722    -0.000004    0.211509     -0.242784    -1.046381    -0.466403    -0.016288    0.276505     -0.501844    -0.193105    -0.235160    -0.233188    0.193296    
0.621123     0.999994     -0.000097    0.000291     0.003427     -0.025006    0.210703     -0.644568    0.019035     -0.636121    -0.005873    0.101011     0.586711     -0.131004    -0.608108    0.003307     0.001083     0.004448     0.001933     0.103253     -0.012663    0.023184     -0.053139    -0.002909    -0.031212    -0.082122    -0.072222    -0.022345    -0.054829    0.015165     -0.000707    -0.001205    0.226388     -0.305552    -1.082072    -0.575210    -0.001361    0.365292     -0.466464    -0.162561    -0.212081    -0.266682    0.212564    
0.621129     0.999993     -0.000086    0.000295     0.003689     -0.025067    0.210815     -0.644847    0.019013     -0.636277    -0.006279    0.100644     0.586597     -0.131281    -0.608036    0.003306     0.001075     0.004789     0.001729     0.106311     -0.011477    0.021469     -0.058684    -0.005968    -0.031092    -0.080073    -0.074466    -0.023146    -0.055751    0.013741     0.000404     -0.001926    0.247966     -0.380413    -1.135752    -0.648537    0.049398     0.454246     -0.431001    -0.157823    -0.156775    -0.302854    0.232071    
0.621134     0.999992     -0.000073    0.000299     0.003959     -0.025121    0.210918     -0.645155    0.018975     -0.636432    -0.006673    0.100266     0.586480     -0.131562    -0.607971    0.003311     0.001064     0.005186     0.001516     0.109213     -0.010189    0.019385     -0.064494    -0.009391    -0.030725    -0.077582    -0.076521    -0.023913    -0.056409    0.012127     0.001617     -0.002478    0.267618     -0.453220    -1.188366    -0.720468    0.097442     0.542233     -0.391130    -0.149195    -0.106721    -0.342854    0.252868    
0.621139     0.999991     -0.000060    0.000303     0.004235     -0.025168    0.211009     -0.645492    0.018919     -0.636584    -0.007055    0.099879     0.586358     -0.131845    -0.607915    0.003322     0.001051     0.005576     0.001284     0.111987     -0.008837    0.016988     -0.070512    -0.013248    -0.030234    -0.074661    -0.078333    -0.024534    -0.056951    0.010281     0.002945     -0.002842    0.272865     -0.505717    -1.218733    -0.822295    0.098797     0.626184     -0.333714    -0.099202    -0.109904    -0.395489    0.278578    
0.621144     0.999990     -0.000046    0.000306     0.004519     -0.025209    0.211088     -0.645860    0.018843     -0.636734    -0.007420    0.099483     0.586234     -0.132131    -0.607868    0.003341     0.001036     0.005895     0.001019     0.114666     -0.007461    0.014334     -0.076678    -0.017607    -0.029737    -0.071357    -0.079867    -0.024912    -0.057496    0.008186     0.004390     -0.002849    0.277685     -0.555587    -1.247593    -0.921470    0.099797     0.695198     -0.279578    -0.051856    -0.108116    -0.442736    0.299264    
0.621150     0.999988     -0.000031    0.000308     0.004809     -0.025243    0.211152     -0.646259    0.018743     -0.636881    -0.007768    0.099080     0.586109     -0.132420    -0.607833    0.003366     0.001022     0.006184     0.000720     0.117227     -0.006029    0.011407     -0.083028    -0.022361    -0.029123    -0.067848    -0.081206    -0.025183    -0.057849    0.005939     0.005875     -0.002789    0.295207     -0.615261    -1.292678    -0.980139    0.146072     0.708503     -0.256104    -0.056463    -0.033205    -0.455795    0.294941    
