DATA LENGTH(steps) :
3645
STEP LENGTH(sec) :
0.005000

PCz,         PEL_Q0,      PEL_Q1,      PEL_Q2,      PEL_Q3,      WST,         RSP,         RSR,         RSY,         REP,         REY,         LSP,         LSR,         LSY,         LEP,         LEY,         PCzp,        wPELx,       wPELy,       wPELz,       WSTp,        RSPp,        RSRp,        RSYp,        REPp,        REYp,        LSPp,        LSRp,        LSYp,        LEPp,        LEYp,        PCzpp,       WSTpp,       RSPpp,       RSRpp,       RSYpp,       REPpp,       REYpp,       LSPpp,       LSRpp,       LSYpp,       LEPpp,       LEYpp

0.621000     1.000000     0.000000     0.000000     0.000000     -0.030034    0.149219     -0.381200    0.442647     -0.534750    0.000000     0.108267     0.397518     -0.455871    -0.510306    0.000000     0.000000     -0.011915    -0.006819    0.006264     0.006982     0.161067     -0.065587    0.078685     0.028394     -0.319544    0.166202     0.084434     0.162962     0.146089     0.131649     0.000000     -0.051484    -2.066644    -0.119894    1.830973     0.153723     2.375499     -1.268836    -0.399347    -2.219159    -0.732513    -0.129810   
0.621000     1.000000     -0.000030    -0.000017    0.000016     -0.029999    0.150024     -0.381528    0.443040     -0.534608    -0.001598    0.109098     0.397941     -0.455056    -0.509575    0.000658     0.000000     -0.011892    -0.007146    0.005903     0.006872     0.155898     -0.065872    0.083180     0.028763     -0.313597    0.163024     0.083438     0.157422     0.144227     0.131312     0.000000     -0.044026    -2.067682    -0.113981    1.798125     0.147709     2.378920     -1.271262    -0.398549    -2.216034    -0.744642    -0.134669   
0.621000     1.000000     -0.000059    -0.000036    0.000030     -0.029965    0.150778     -0.381859    0.443479     -0.534462    -0.003136    0.109897     0.398353     -0.454297    -0.508863    0.001313     0.000000     -0.011850    -0.007798    0.005182     0.006671     0.145557     -0.066427    0.092088     0.029487     -0.301693    0.156661     0.081447     0.146350     0.140474     0.130627     0.000000     -0.036568    -2.068720    -0.108067    1.765278     0.141696     2.382341     -1.273687    -0.397751    -2.212908    -0.756771    -0.139529   
0.621000     1.000000     -0.000089    -0.000056    0.000042     -0.029932    0.151480     -0.382193    0.443961     -0.534313    -0.004615    0.110664     0.398755     -0.453593    -0.508171    0.001965     0.000000     -0.011816    -0.008446    0.004468     0.006507     0.135211     -0.066952    0.100833     0.030180     -0.289773    0.150287     0.079460     0.135293     0.136659     0.129917     0.000000     -0.029111    -2.069758    -0.102154    1.732431     0.135682     2.385762     -1.276113    -0.396952    -2.209783    -0.768899    -0.144388   
0.621000     1.000000     -0.000119    -0.000078    0.000052     -0.029900    0.152130     -0.382529    0.444487     -0.534161    -0.006034    0.111400     0.399147     -0.452944    -0.507497    0.002612     0.000000     -0.011792    -0.009093    0.003756     0.006376     0.124865     -0.067461    0.109459     0.030842     -0.277838    0.143903     0.077476     0.124242     0.132797     0.129190     0.000000     -0.023177    -2.068636    -0.101302    1.717897     0.128909     2.388167     -1.277404    -0.396564    -2.210567    -0.776023    -0.146292   
0.621000     1.000000     -0.000148    -0.000102    0.000060     -0.029868    0.152728     -0.382867    0.445056     -0.534005    -0.007393    0.112103     0.399530     -0.452350    -0.506843    0.003256     0.000000     -0.011772    -0.009752    0.003025     0.006260     0.114546     -0.068016    0.118195     0.031462     -0.265902    0.137524     0.075490     0.113148     0.128949     0.128484     0.000000     -0.023337    -2.058871    -0.120693    1.776618     0.119100     2.386513     -1.274158    -0.397819    -2.226987    -0.763126    -0.136373   
0.621000     1.000000     -0.000177    -0.000127    0.000067     -0.029837    0.153275     -0.383209    0.445669     -0.533846    -0.008693    0.112775     0.399902     -0.451812    -0.506207    0.003897     0.000000     -0.011748    -0.010431    0.002261     0.006140     0.104266     -0.068658    0.127201     0.032042     -0.253972    0.131160     0.073500     0.101967     0.125164     0.127822     0.000000     -0.024474    -2.053169    -0.136065    1.825786     0.113273     2.385385     -1.271572    -0.398347    -2.245709    -0.751083    -0.128225   
0.621000     1.000000     -0.000207    -0.000154    0.000072     -0.029807    0.153771     -0.383554    0.446328     -0.533684    -0.009933    0.113415     0.400265     -0.451330    -0.505591    0.004535     0.000000     -0.011697    -0.011110    0.001495     0.006020     0.093952     -0.069286    0.136174     0.032642     -0.242032    0.124790     0.071518     0.090707     0.121380     0.127154     0.000000     -0.023420    -2.072364    -0.115113    1.763489     0.126415     2.390423     -1.276155    -0.394328    -2.258003    -0.762474    -0.138985   
0.621000     1.000000     -0.000236    -0.000182    0.000074     -0.029777    0.154215     -0.383902    0.447031     -0.533520    -0.011113    0.114023     0.400617     -0.450905    -0.504994    0.005169     0.000000     -0.011608    -0.011768    0.000762     0.005901     0.083549     -0.069812    0.144814     0.033292     -0.230077    0.118403     0.069560     0.079405     0.117528     0.126418     0.000000     -0.024266    -2.088903    -0.095389    1.692679     0.133790     2.391945     -1.278633    -0.389139    -2.262788    -0.778457    -0.155680   
0.621000     1.000000     -0.000265    -0.000212    0.000075     -0.029748    0.154606     -0.384252    0.447776     -0.533351    -0.012234    0.114599     0.400960     -0.450536    -0.504416    0.005799     0.000000     -0.011536    -0.012422    0.000061     0.005753     0.073152     -0.070343    0.153294     0.033875     -0.218164    0.112043     0.067627     0.068138     0.113608     0.125585     0.000000     -0.034903    -2.069924    -0.116905    1.699276     0.099133     2.373240     -1.265519    -0.383817    -2.243962    -0.789375    -0.177210   
0.621000     1.000000     -0.000294    -0.000244    0.000075     -0.029720    0.154946     -0.384605    0.448564     -0.533181    -0.013295    0.115143     0.401294     -0.450224    -0.503857    0.006425     0.000000     -0.011529    -0.013088    -0.000626    0.005563     0.062850     -0.070988    0.161828     0.034274     -0.206341    0.105740     0.065716     0.056972     0.109645     0.124645     0.000000     -0.041355    -2.050755    -0.141132    1.714348     0.060690     2.355828     -1.255636    -0.380533    -2.222564    -0.795930    -0.198808   
0.621000     1.000000     -0.000322    -0.000278    0.000072     -0.029692    0.155235     -0.384962    0.449394     -0.533009    -0.014297    0.115656     0.401618     -0.449967    -0.503319    0.007045     0.000000     -0.011549    -0.013753    -0.001349    0.005406     0.052558     -0.071678    0.170329     0.034549     -0.194542    0.099415     0.063801     0.045879     0.105680     0.123609     0.000000     -0.021279    -2.066344    -0.134966    1.685908     0.049141     2.363819     -1.274269    -0.385536    -2.214488    -0.790100    -0.215842   
0.621000     1.000000     -0.000351    -0.000313    0.000068     -0.029665    0.155472     -0.385322    0.450267     -0.532835    -0.015240    0.116137     0.401932     -0.449765    -0.502801    0.007661     0.000000     -0.011548    -0.014405    -0.002138    0.005342     0.042181     -0.072328    0.178652     0.034776     -0.182713    0.092997     0.061860     0.034831     0.101739     0.122472     0.000000     -0.004190    -2.084159    -0.124970    1.643153     0.041794     2.367614     -1.293303    -0.390962    -2.204946    -0.785958    -0.238809   
0.621000     1.000000     -0.000380    -0.000350    0.000062     -0.029639    0.155657     -0.385685    0.451181     -0.532661    -0.016124    0.116586     0.402236     -0.449618    -0.502302    0.008270     0.000000     -0.011533    -0.015060    -0.002908    0.005268     0.031781     -0.072965    0.186726     0.034941     -0.170971    0.086550     0.059908     0.023878     0.097772     0.121150     0.000000     -0.025580    -2.076118    -0.130049    1.586651     0.024362     2.329223     -1.285423    -0.389791    -2.176222    -0.800958    -0.290071   
0.621000     1.000000     -0.000409    -0.000388    0.000053     -0.029613    0.155790     -0.386052    0.452134     -0.532486    -0.016950    0.117003     0.402531     -0.449526    -0.501823    0.008872     0.000000     -0.011518    -0.015736    -0.003584    0.005085     0.021429     -0.073636    0.194503     0.034998     -0.159427    0.080152     0.057974     0.013072     0.093717     0.119568     0.000000     -0.047731    -2.064714    -0.138128    1.524048     -0.001596    2.288594     -1.273723    -0.383947    -2.146361    -0.821159    -0.342648   
0.621000     1.000000     -0.000438    -0.000429    0.000044     -0.029588    0.155871     -0.386421    0.453126     -0.532311    -0.017718    0.117388     0.402816     -0.449488    -0.501365    0.009466     0.000000     -0.011487    -0.016410    -0.004250    0.004879     0.011103     -0.074339    0.201940     0.034865     -0.148002    0.073783     0.056099     0.002378     0.089556     0.117781     0.000000     -0.034446    -2.065720    -0.143125    1.450786     -0.051567    2.281201     -1.273656    -0.366005    -2.131136    -0.843025    -0.372184   
0.621000     1.000000     -0.000466    -0.000470    0.000032     -0.029564    0.155901     -0.386795    0.454154     -0.532137    -0.018430    0.117741     0.403092     -0.449502    -0.500927    0.010050     0.000000     -0.011429    -0.017064    -0.004997    0.004752     0.000765     -0.075065    0.209011     0.034489     -0.136621    0.067407     0.054302     -0.008211    0.085292     0.115843     0.000000     -0.016393    -2.069386    -0.147124    1.377793     -0.099027    2.271164     -1.277010    -0.352669    -2.104526    -0.862886    -0.403030   
0.621000     1.000000     -0.000495    -0.000514    0.000019     -0.029540    0.155879     -0.387172    0.455216     -0.531966    -0.019085    0.118062     0.403359     -0.449570    -0.500512    0.010624     0.000000     -0.011357    -0.017714    -0.005781    0.004674     -0.009587    -0.075808    0.215747     0.033960     -0.125400    0.061008     0.052496     -0.018517    0.080952     0.113680     0.000000     -0.014707    -2.071285    -0.150214    1.316537     -0.112430    2.217318     -1.282411    -0.369855    -2.017739    -0.873057    -0.462151   
0.621000     1.000000     -0.000523    -0.000559    0.000003     -0.029517    0.155805     -0.387553    0.456311     -0.531798    -0.019684    0.118351     0.403617     -0.449688    -0.500118    0.011187     0.000000     -0.011291    -0.018380    -0.006539    0.004591     -0.019942    -0.076566    0.222148     0.033357     -0.114464    0.054583     0.050611     -0.028392    0.076561     0.111217     0.000000     -0.018753    -2.070950    -0.153075    1.243920     -0.128975    2.157103     -1.287757    -0.384200    -1.932159    -0.883453    -0.523086   
0.621000     1.000000     -0.000551    -0.000606    -0.000014    -0.029495    0.155679     -0.387938    0.457437     -0.531633    -0.020229    0.118608     0.403865     -0.449854    -0.499746    0.011736     0.000000     -0.011255    -0.019047    -0.007252    0.004470     -0.030278    -0.077339    0.228044     0.032554     -0.103783    0.048136     0.048758     -0.038001    0.072091     0.108502     0.000000     -0.029366    -2.063448    -0.155926    1.114121     -0.192141    2.115217     -1.290834    -0.356657    -1.911583    -0.904441    -0.563006   
0.621000     1.000000     -0.000580    -0.000654    -0.000033    -0.029473    0.155502     -0.388326    0.458591     -0.531472    -0.020722    0.118832     0.404104     -0.450068    -0.499397    0.012272     0.000000     -0.011257    -0.019700    -0.007925    0.004301     -0.040574    -0.078133    0.233286     0.031422     -0.093301    0.041679     0.047045     -0.047488    0.067512     0.105591     0.000000     -0.038211    -2.054718    -0.161740    0.982750     -0.260689    2.077648     -1.292138    -0.328684    -1.883238    -0.926900    -0.601471   
0.621000     1.000000     -0.000608    -0.000704    -0.000054    -0.029452    0.155273     -0.388719    0.459770     -0.531318    -0.021162    0.119025     0.404335     -0.450329    -0.499071    0.012792     0.000000     -0.011240    -0.020350    -0.008597    0.004122     -0.050831    -0.078986    0.237998     0.030010     -0.083009    0.035227     0.045371     -0.056593    0.062834     0.102449     0.000000     -0.033415    -2.048236    -0.179416    0.902270     -0.304146    2.039022     -1.288623    -0.340882    -1.758814    -0.944650    -0.655134   
0.621000     1.000000     -0.000636    -0.000756    -0.000076    -0.029431    0.154994     -0.389116    0.460971     -0.531172    -0.021552    0.119185     0.404558     -0.450633    -0.498769    0.013296     0.000000     -0.011159    -0.021013    -0.009305    0.003975     -0.061053    -0.079922    0.242288     0.028380     -0.072935    0.028788     0.043631     -0.065061    0.058072     0.099034     0.000000     -0.025540    -2.040407    -0.195224    0.813618     -0.347749    1.990485     -1.286761    -0.355385    -1.628217    -0.959898    -0.710923   
0.621000     0.999999     -0.000664    -0.000809    -0.000100    -0.029412    0.154663     -0.389518    0.462193     -0.531035    -0.021892    0.119312     0.404772     -0.450979    -0.498490    0.013783     0.000000     -0.011081    -0.021684    -0.010035    0.003864     -0.071216    -0.080890    0.245926     0.026468     -0.063201    0.022331     0.041895     -0.073054    0.053248     0.095357     0.000000     -0.018991    -2.024942    -0.191699    0.641387     -0.417029    1.903363     -1.296335    -0.338933    -1.569010    -0.969856    -0.760022   
0.621000     0.999999     -0.000691    -0.000864    -0.000126    -0.029393    0.154281     -0.389925    0.463431     -0.530907    -0.022184    0.119408     0.404977     -0.451364    -0.498236    0.014250     0.000000     -0.011069    -0.022355    -0.010767    0.003780     -0.081300    -0.081842    0.248695     0.024200     -0.053910    0.015829     0.040252     -0.080752    0.048368     0.091437     0.000000     -0.014396    -2.008374    -0.189415    0.466442     -0.490323    1.813006     -1.304187    -0.318119    -1.510108    -0.981985    -0.807903   
0.621000     0.999999     -0.000719    -0.000921    -0.000154    -0.029374    0.153850     -0.390337    0.464680     -0.530793    -0.022431    0.119471     0.405174     -0.451787    -0.498007    0.014697     0.000000     -0.011067    -0.023009    -0.011497    0.003703     -0.091308    -0.082845    0.250772     0.021589     -0.045007    0.009335     0.038680     -0.087980    0.043393     0.087273     0.000000     -0.016294    -1.995035    -0.211434    0.364222     -0.553997    1.748298     -1.293718    -0.310814    -1.381033    -1.008090    -0.857603   
0.621000     0.999999     -0.000747    -0.000979    -0.000184    -0.029356    0.153368     -0.390754    0.465938     -0.530692    -0.022634    0.119501     0.405364     -0.452244    -0.497802    0.015123     0.000000     -0.011016    -0.023639    -0.012224    0.003614     -0.101249    -0.083957    0.252334     0.018662     -0.036419    0.002899     0.037138     -0.094525    0.038286     0.082864     0.000000     -0.019612    -1.981281    -0.233343    0.260838     -0.616805    1.686741     -1.280546    -0.306078    -1.237257    -1.034708    -0.906119   
0.621000     0.999999     -0.000774    -0.001039    -0.000215    -0.029338    0.152837     -0.391176    0.467203     -0.530606    -0.022795    0.119500     0.405546     -0.452732    -0.497624    0.015526     0.000000     -0.010968    -0.024273    -0.012933    0.003509     -0.111109    -0.085116    0.253187     0.015405     -0.028172    -0.003490    0.035627     -0.100381    0.033076     0.078228     0.000000     -0.022114    -1.962645    -0.230507    0.080076     -0.685771    1.612144     -1.274885    -0.298112    -1.104853    -1.049402    -0.948077   
0.621000     0.999999     -0.000801    -0.001101    -0.000248    -0.029321    0.152257     -0.391605    0.468470     -0.530537    -0.022916    0.119466     0.405720     -0.453248    -0.497471    0.015905     0.000000     -0.010972    -0.024936    -0.013616    0.003394     -0.120871    -0.086257    0.253114     0.011797     -0.020317    -0.009857    0.034155     -0.105579    0.027809     0.073392     0.000000     -0.023976    -1.942315    -0.225950    -0.108978    -0.757768    1.529641     -1.272088    -0.290845    -0.974357    -1.057192    -0.986426   
0.621000     0.999999     -0.000829    -0.001164    -0.000283    -0.029304    0.151629     -0.392039    0.469735     -0.530488    -0.022998    0.119401     0.405887     -0.453788    -0.497346    0.016259     0.000000     -0.010955    -0.025603    -0.014286    0.003274     -0.130527    -0.087420    0.252207     0.007813     -0.012922    -0.016220    0.032704     -0.110115    0.022543     0.068384     0.000000     -0.024087    -1.920094    -0.239250    -0.253817    -0.835726    1.428556     -1.273237    -0.289602    -0.840121    -1.049290    -1.016900   
0.621000     0.999999     -0.000856    -0.001229    -0.000320    -0.029288    0.150952     -0.392479    0.470992     -0.530459    -0.023045    0.119304     0.406047     -0.454349    -0.497246    0.016589     0.000000     -0.010846    -0.026246    -0.014963    0.003159     -0.140067    -0.088657    0.250588     0.003436     -0.006036    -0.022582    0.031266     -0.113982    0.017304     0.063234     0.000000     -0.022047    -1.895925    -0.255300    -0.393925    -0.915182    1.326000     -1.271268    -0.285441    -0.706635    -1.046211    -1.042843   
