0 X(value) Y(value) Z(value) 
0.749731 0.681132 3.84067 5.8407 
0.754784 0.688419 3.84249 5.84287 
0.759713 0.688419 3.84431 5.84434 
0.764785 0.695637 3.84612 5.84649 
0.769709 0.695637 3.84794 5.84794 
0.774752 0.702764 3.84971 5.85008 
0.779751 0.702764 3.85151 5.85154 
0.784784 0.709836 3.85326 5.85363 
0.789743 0.709836 3.85505 5.85508 
0.794756 0.716853 3.85678 5.85715 
0.799715 0.716853 3.85853 5.85856 
0.804788 0.723792 3.86027 5.86063 
0.809718 0.723792 3.86202 5.86204 
0.814785 0.730673 3.86372 5.86408 
0.819742 0.730673 3.86545 5.86547 
0.824782 0.737464 3.86714 5.86749 
0.829739 0.737464 3.86883 5.86887 
0.834784 0.74416 3.87051 5.87087 
0.839756 0.74416 3.87219 5.87222 
0.844784 0.750802 3.87384 5.8742 
0.84972 0.750802 3.87551 5.87554 
0.854784 0.757394 3.87715 5.87749 
0.859715 0.757394 3.87879 5.87881 
0.864785 0.763864 3.88041 5.88075 
0.869712 0.763864 3.88204 5.88205 
0.874743 0.770297 3.88364 5.88398 
0.87976 0.770297 3.88525 5.88527 
0.884785 0.776618 3.88682 5.88715 
0.889715 0.776618 3.8884 5.88844 
0.894788 0.7829 3.88997 5.8903 
0.899712 0.7829 3.89153 5.89156 
0.904784 0.78906 3.89308 5.89341 
0.909711 0.78906 3.89463 5.89465 
0.914756 0.795182 3.89616 5.89647 
0.919712 0.795182 3.89769 5.8977 
0.924755 0.801206 3.89918 5.8995 
0.929717 0.801206 3.9007 5.90071 
0.934755 0.80713 3.90217 5.90248 
0.939763 0.80713 3.90366 5.90369 
0.944735 0.812994 3.90513 5.90543 
0.949788 0.812994 3.90659 5.90663 
0.954785 0.818794 3.90804 5.90834 
0.959746 0.818794 3.90948 5.90951 
0.964784 0.824494 3.91091 5.9112 
0.969759 0.824494 3.91233 5.91236 
0.974784 0.830111 3.91373 5.91403 
0.979717 0.830111 3.91513 5.91517 
0.984786 0.835646 3.91651 5.91681 
0.989711 0.835646 3.9179 5.91793 
0.994784 0.841096 3.91926 5.91955 
0.999713 0.841096 3.92062 5.92065 
1.00475 0.846446 3.92196 5.92225 
1.00975 0.846446 3.92332 5.92334 
1.01474 0.851728 3.92463 5.92491 
1.01975 0.851728 3.92596 5.92597 
1.02474 0.856921 3.92725 5.92752 
1.02972 0.856921 3.92856 5.92857 
1.03472 0.862045 3.92983 5.9301 
1.03972 0.862045 3.9311 5.93112 
1.04478 0.867065 3.93235 5.93262 
1.04974 0.867065 3.93361 5.93364 
1.05478 0.872016 3.93485 5.9351 
1.05975 0.872016 3.93609 5.93611 
1.06478 0.876868 3.93729 5.93755 
1.06974 0.876868 3.93851 5.93853 
1.07478 0.881631 3.93969 5.93994 
1.07972 0.881631 3.94089 5.94091 
1.08479 0.886306 3.94206 5.9423 
1.08973 0.886306 3.94323 5.94325 
1.09478 0.890893 3.94437 5.94461 
1.09975 0.890893 3.94552 5.94554 
1.10476 0.895373 3.94664 5.94687 
1.10974 0.895373 3.94777 5.94779 
1.11479 0.899781 3.94886 5.94909 
1.11976 0.899781 3.94997 5.94998 
1.12478 0.904122 3.95104 5.95127 
1.12974 0.904122 3.95213 5.95214 
1.13478 0.908347 3.95318 5.9534 
1.13975 0.908347 3.95424 5.95426 
1.14478 0.912483 3.95527 5.95548 
1.14974 0.912483 3.95631 5.95632 
1.15478 0.916529 3.95731 5.95752 
1.15975 0.916529 3.95833 5.95834 
1.16479 0.920483 3.95931 5.95952 
1.16976 0.920483 3.9603 5.96032 
1.17478 0.924344 3.96126 5.96146 
1.17974 0.924344 3.96223 5.96224 
1.18476 0.928098 3.96317 5.96337 
1.18975 0.928098 3.96411 5.96413 
1.19474 0.931772 3.96503 5.96522 
1.19977 0.931772 3.96595 5.96596 
1.20474 0.935357 3.96684 5.96703 
1.20975 0.935357 3.96774 5.96776 
1.21475 0.938847 3.96861 5.96879 
1.21975 0.938847 3.96948 5.9695 
1.22478 0.942259 3.97033 5.97051 
1.22974 0.942259 3.97118 5.9712 
1.23478 0.94556 3.972 5.97218 
1.23976 0.94556 3.97283 5.97284 
1.24478 0.948766 3.97363 5.9738 
1.24974 0.948766 3.97443 5.97444 
1.25475 0.951878 3.97521 5.97537 
1.25972 0.951878 3.97598 5.976 
1.26475 0.954895 3.97674 5.9769 
1.26974 0.954895 3.97749 5.97751 
1.27479 0.957817 3.97822 5.97838 
1.27972 0.957817 3.97895 5.97896 
1.28478 0.960635 3.97966 5.97981 
1.28975 0.960635 3.98036 5.98038 
1.29476 0.963372 3.98105 5.98119 
1.29974 0.963372 3.98172 5.98173 
1.30478 0.966006 3.98239 5.98252 
1.30971 0.966006 3.98304 5.98305 
1.31478 0.968543 3.98367 5.98381 
1.31975 0.968543 3.98431 5.98432 
1.32475 0.970982 3.98492 5.98505 
1.32975 0.970982 3.98553 5.98554 
1.33478 0.973326 3.98611 5.98624 
1.33974 0.973326 3.9867 5.98671 
1.34478 0.975571 3.98726 5.98738 
1.34974 0.975571 3.98782 5.98783 
1.35478 0.97772 3.98836 5.98847 
1.35972 0.97772 3.98889 5.9889 
1.36478 0.97977 3.9894 5.98951 
1.36976 0.97977 3.98991 5.98992 
1.37475 0.981722 3.9904 5.99051 
1.37971 0.981722 3.99089 5.99089 
1.38475 0.983571 3.99136 5.99145 
1.38975 0.983571 3.99182 5.99183 
1.39474 0.985326 3.99226 5.99235 
1.39975 0.985326 3.99269 5.9927 
1.40479 0.986991 3.99311 5.9932 
1.40976 0.986991 3.99352 5.99353 
1.41478 0.988548 3.99391 5.99399 
1.41975 0.988548 3.9943 5.9943 
1.42478 0.990007 3.99466 5.99474 
1.42972 0.990007 3.99502 5.99503 
1.43475 0.991368 3.99537 5.99544 
1.43971 0.991368 3.9957 5.99571 
1.44475 0.992629 3.99602 5.99609 
1.44973 0.992629 3.99633 5.99634 
1.45477 0.993788 3.99663 5.99669 
1.45976 0.993788 3.99691 5.99692 
1.46478 0.994854 3.99718 5.99724 
1.46974 0.994854 3.99744 5.99745 
1.47478 0.995818 3.99769 5.99774 
1.47975 0.995818 3.99792 5.99793 
1.48478 0.996682 3.99814 5.99819 
1.48972 0.996682 3.99835 5.99836 
1.49478 0.997446 3.99855 5.99859 
1.49971 0.997446 3.99873 5.99874 
1.50475 0.99811 3.9989 5.99894 
1.50971 0.99811 3.99906 5.99907 
1.51475 0.998673 3.99921 5.99924 
1.51972 0.998673 3.99935 5.99935 
1.52474 0.999138 3.99947 5.99949 
1.52975 0.999138 3.99958 5.99958 
1.53475 0.999503 3.99967 5.99969 
1.53974 0.999503 3.99976 5.99976 
1.54479 0.999769 3.99983 5.99984 
1.54974 0.999769 3.99989 5.99989 
1.55478 0.999934 3.99993 5.99994 
1.55976 0.999934 3.99997 5.99997 
1.56478 0.999999 3.99999 5.99999 
1.56975 0.999999 4 6 
1.57478 0.999964 4 5.99999 
1.57976 0.999964 3.99998 5.99998 
1.58478 0.999829 3.99995 5.99995 
1.58974 0.999829 3.99991 5.99991 
1.59478 0.999594 3.99986 5.99985 
1.59975 0.999594 3.99979 5.99979 
1.60478 0.999259 3.99971 5.9997 
1.60971 0.999259 3.99962 5.99962 
1.61475 0.998824 3.99952 5.9995 
1.61971 0.998824 3.9994 5.9994 
1.62475 0.998291 3.99928 5.99925 
1.62974 0.998291 3.99913 5.99913 
1.63475 0.997656 3.99898 5.99895 
1.63975 0.997656 3.99882 5.99881 
1.64476 0.996921 3.99864 5.9986 
1.64972 0.996921 3.99845 5.99845 
1.65476 0.996088 3.99825 5.9982 
1.65971 0.996088 3.99803 5.99803 
1.66478 0.995155 3.9978 5.99775 
1.66971 0.995155 3.99756 5.99756 
1.67475 0.994118 3.99731 5.99726 
1.67977 0.994118 3.99704 5.99704 
1.68477 0.992991 3.99677 5.99671 
1.68971 0.992991 3.99648 5.99647 
1.69477 0.991759 3.99617 5.99611 
1.69975 0.991759 3.99586 5.99585 
1.70478 0.990427 3.99553 5.99546 
1.70974 0.990427 3.99519 5.99518 
1.71478 0.988997 3.99484 5.99477 
1.71971 0.988997 3.99448 5.99447 
1.72474 0.987464 3.9941 5.99402 
1.72974 0.987464 3.99371 5.9937 
1.73475 0.985842 3.99331 5.99322 
1.73971 0.985842 3.99289 5.99289 
1.74476 0.984115 3.99247 5.99238 
1.74971 0.984115 3.99203 5.99202 
1.75475 0.982291 3.99158 5.99148 
1.75971 0.982291 3.99112 5.99111 
1.76476 0.98037 3.99064 5.99054 
1.76973 0.98037 3.99015 5.99015 
1.77474 0.978347 3.98966 5.98955 
1.77972 0.978347 3.98914 5.98913 
1.78475 0.976227 3.98862 5.98851 
1.78972 0.976227 3.98808 5.98807 
1.79473 0.974013 3.98754 5.98741 
1.79971 0.974013 3.98698 5.98696 
1.80473 0.971697 3.9864 5.98628 
1.80972 0.971697 3.98582 5.9858 
1.81475 0.969286 3.98522 5.98509 
1.81971 0.969286 3.98461 5.9846 
1.82474 0.966778 3.98399 5.98385 
1.82971 0.966778 3.98336 5.98327 
1.83471 0.964182 3.98271 5.98257 
1.8397 0.964182 3.98205 5.98205 
1.84471 0.961477 3.98138 5.98124 
1.8497 0.961477 3.98069 5.98069 
1.85471 0.958681 3.98 5.97986 
1.8597 0.958681 3.97929 5.97929 
1.86471 0.955789 3.97858 5.97843 
1.8697 0.955789 3.97785 5.97785 
1.87471 0.9528 3.97711 5.97695 
1.8797 0.9528 3.97635 5.97635 
1.88471 0.949723 3.97559 5.97543 
1.8897 0.949723 3.97481 5.97481 
1.89471 0.946551 3.97402 5.97386 
1.8997 0.946551 3.97322 5.97322 
1.90471 0.943278 3.97241 5.97224 
1.90971 0.943278 3.97158 5.97158 
1.91471 0.939906 3.97074 5.97057 
1.9197 0.939906 3.96989 5.96989 
1.92471 0.936438 3.96904 5.96886 
1.9297 0.936438 3.96816 5.96816 
1.93471 0.932882 3.96728 5.9671 
1.93971 0.932882 3.96638 5.96638 
1.94471 0.929238 3.96547 5.96529 
1.94971 0.929238 3.96455 5.96454 
1.95471 0.925496 3.96362 5.96344 
1.95971 0.925496 3.96267 5.96267 
1.96474 0.921663 3.96173 5.96153 
1.96976 0.921663 3.96076 5.96074 
1.97474 0.917727 3.95979 5.95959 
1.97974 0.917727 3.9588 5.95878 
1.98478 0.913684 3.9578 5.95759 
1.98974 0.913684 3.95679 5.95677 
1.99472 0.9096 3.95577 5.95555 
1.99972 0.9096 3.95474 5.95472 
2.00476 0.905398 3.9537 5.95347 
2.00972 0.905398 3.95264 5.95262 
2.01478 0.901088 3.95157 5.95134 
2.01971 0.901088 3.95048 5.95046 
2.02478 0.896709 3.9494 5.94917 
2.02971 0.896709 3.9483 5.94828 
2.03479 0.892236 3.94719 5.94695 
2.03976 0.892236 3.94605 5.94603 
2.04478 0.887678 3.94492 5.94468 
2.04975 0.887678 3.94377 5.94376 
2.05478 0.883044 3.94262 5.94238 
2.05972 0.883044 3.94145 5.94143 
2.06475 0.87829 3.94028 5.94003 
2.06971 0.87829 3.93907 5.93906 
2.07474 0.873485 3.93788 5.93763 
2.07975 0.873485 3.93666 5.93664 
2.08474 0.868569 3.93544 5.93519 
2.08971 0.868569 3.9342 5.9342 
2.09473 0.863573 3.93296 5.93271 
2.09976 0.863573 3.93171 5.93168 
2.10472 0.858487 3.93044 5.93018 
2.10973 0.858487 3.92916 5.92915 
2.11475 0.853328 3.92788 5.92761 
2.11971 0.853328 3.92658 5.92656 
2.12478 0.848042 3.92527 5.92499 
2.12971 0.848042 3.92394 5.92392 
2.13476 0.842694 3.92262 5.92234 
2.13976 0.842694 3.92126 5.92124 
2.14475 0.837274 3.91993 5.91964 
2.14974 0.837274 3.91855 5.91853 
2.15478 0.83177 3.91719 5.9169 
2.15972 0.83177 3.91581 5.91578 
2.16478 0.826169 3.91442 5.91412 
2.16972 0.826169 3.91301 5.91299 
2.17474 0.820511 3.9116 5.9113 
2.17971 0.820511 3.91017 5.91016 
2.18471 0.814749 3.90874 5.90844 
2.18974 0.814749 3.90728 5.90727 
2.19478 0.808899 3.90584 5.90553 
2.19972 0.808899 3.90437 5.90434 
2.20476 0.802978 3.9029 5.90259 
2.20971 0.802978 3.90141 5.90139 
2.21475 0.797003 3.89991 5.8996 
2.21976 0.797003 3.89839 5.89837 
2.22474 0.790922 3.89689 5.89658 
2.2299 0.790922 3.89536 5.89532 
2.23474 0.784764 3.89384 5.89351 
2.23971 0.784764 3.89229 5.89226 
2.24472 0.778529 3.89073 5.89041 
2.24974 0.778529 3.88915 5.88913 
2.25472 0.772218 3.88759 5.88727 
2.25975 0.772218 3.88601 5.88597 
2.26479 0.765822 3.88441 5.88408 
2.26974 0.765822 3.88279 5.88277 
2.27478 0.759324 3.8812 5.88087 
2.27974 0.759324 3.87957 5.87954 
2.28478 0.7528 3.87794 5.8776 
2.28971 0.7528 3.8763 5.87628 
2.29474 0.746181 3.87466 5.87431 
2.29971 0.746181 3.87292 5.87296 
2.30474 0.739492 3.87132 5.87097 
2.30971 0.739492 3.86963 5.8696 
2.31474 0.732722 3.86795 5.8676 
