0 RMx(value) RMy(value) RFz(value) 
1.31989 0 0 0 
1.32485 0 0 0 
1.32989 0 0 0 
1.33489 0 0 0 
1.33989 0 0 0 
1.34489 0 0 0 
1.34989 0 0 0 
1.35486 0 0 0 
1.35989 0 0 0 
1.36486 0 0 0 
1.36985 0 0 0 
1.37489 0 0 0 
1.37989 0 0 0 
1.38489 0 0 0 
1.38989 0 0 0 
1.39489 0 0 0 
1.39989 0 0 0 
1.40489 0 0 0 
1.40989 0 0 0 
1.41489 0 0 0 
1.41992 0 0 0 
1.42489 0 0 0 
1.42992 0 0 0 
1.43489 0 0 0 
1.43989 0 0 0 
1.44489 0 0 0 
1.44991 0 0 0 
1.45489 0 0 0 
1.45991 0 0 0 
1.46489 0 0 0 
1.46986 0 0 0 
1.47489 0 0 0 
1.47985 0 0 0 
1.48489 0 0 0 
1.48991 0 0 0 
1.49489 0 0 0 
1.49991 0 0 0 
1.50489 0 0 0 
1.50985 0 0 0 
1.51489 0 0 0 
1.51989 0 0 0 
1.52489 0 0 0 
1.52991 0 0 0 
1.53489 0 0 0 
1.53991 0 0 0 
1.54489 0 0 0 
1.54991 0 0 0 
1.55489 0 0 0 
1.55989 0 0 0 
1.56489 0 0 0 
1.5699 0 0 0 
1.57489 0 0 0 
1.5799 0 0 0 
1.58483 0 0 0 
1.58984 0 0 0 
1.59483 0 0 0 
1.59987 0 0 0 
1.60487 0 0 0 
1.60987 0 0 0 
1.61487 0 0 0 
1.61988 0 0 0 
1.62484 0 0 0 
1.62988 0 0 0 
1.63484 0 0 0 
1.63989 0 0 0 
1.64489 0 0 0 
1.64989 0 0 0 
1.65486 0 0 0 
1.6599 0 0 0 
1.66486 0 0 0 
1.66988 0 0 0 
1.67485 0 0 0 
1.67987 0 0 0 
1.68489 0 0 0 
1.68989 0 0 0 
1.69489 0 0 0 
1.6999 0 0 0 
1.70489 0 0 0 
1.70991 0 0 0 
1.71489 0 0 0 
1.71989 0 0 0 
1.72489 0 0 0 
1.72991 0 0 0 
1.73489 0 0 0 
1.73985 0 0 0 
1.74489 0 0 0 
1.7499 0 0 0 
1.7549 0 0 0 
1.75989 0 0 0 
1.76489 0 0 0 
1.76989 0 0 0 
