21.0809		14	6		00 00 00 00 00 00 
21.0813		17	6		00 00 00 00 00 00 
21.0815		13	6		00 00 00 00 00 00 
21.0818		10	6		00 00 00 00 00 00 
21.0821		14	6		00 00 00 00 00 00 
21.0829		13	6		00 00 00 00 00 00 
21.0831		17	6		00 00 00 00 00 00 
21.0834		10	6		00 00 00 00 00 00 
21.0918		17	6		00 00 00 00 00 00 
21.0924		10	6		00 00 00 00 00 00 
21.0926		14	6		00 00 00 00 00 00 
21.0928		13	6		00 00 00 00 00 00 
21.1017		13	6		00 00 00 00 00 00 
21.1021		17	6		00 00 00 00 00 00 
21.1024		10	6		00 00 00 00 00 00 
21.1026		14	6		00 00 00 00 00 00 
21.1121		10	6		00 00 00 00 00 00 
21.1124		17	6		00 00 00 00 00 00 
21.1126		14	6		00 00 00 00 00 00 
21.1128		13	6		00 00 00 00 00 00 
21.122		13	6		00 00 00 00 00 00 
21.1223		14	6		00 00 00 00 00 00 
21.1225		10	6		00 00 00 00 00 00 
21.1228		17	6		00 00 00 00 00 00 
21.1318		17	6		00 00 00 00 00 00 
21.1322		14	6		00 00 00 00 00 00 
21.1324		10	6		00 00 00 00 00 00 
21.1326		13	6		00 00 00 00 00 00 
21.1418		14	6		00 00 00 00 00 00 
21.1421		10	6		00 00 00 00 00 00 
21.1424		17	6		00 00 00 00 00 00 
21.1426		13	6		00 00 00 00 00 00 
21.1518		10	6		00 00 00 00 00 00 
21.1519		14	6		00 00 00 00 00 00 
21.152		13	6		00 00 00 00 00 00 
21.1521		17	6		00 00 00 00 00 00 
21.1613		14	6		00 00 00 00 00 00 
21.1616		13	6		00 00 00 00 00 00 
21.1618		17	6		00 00 00 00 00 00 
21.1621		10	6		00 00 00 00 00 00 
21.1715		14	6		00 00 00 00 00 00 
21.1718		17	6		00 00 00 00 00 00 
21.172		13	6		00 00 00 00 00 00 
21.1723		10	6		00 00 00 00 00 00 
21.1815		14	6		00 00 00 00 00 00 
21.1818		17	6		00 00 00 00 00 00 
21.182		13	6		00 00 00 00 00 00 
21.1824		10	6		00 00 00 00 00 00 
21.1912		13	6		00 00 00 00 00 00 
21.1919		14	6		00 00 00 00 00 00 
21.1922		10	6		00 00 00 00 00 00 
21.1925		17	6		00 00 00 00 00 00 
21.2015		13	6		00 00 00 00 00 00 
21.2019		17	6		00 00 00 00 00 00 
21.2021		14	6		00 00 00 00 00 00 
21.2024		10	6		00 00 00 00 00 00 
21.2115		17	6		00 00 00 00 00 00 
21.2118		13	6		00 00 00 00 00 00 
21.2119		14	6		00 00 00 00 00 00 
21.2119		10	6		00 00 00 00 00 00 
21.2215		13	6		00 00 00 00 00 00 
21.222		17	6		00 00 00 00 00 00 
21.2221		10	6		00 00 00 00 00 00 
21.2222		14	6		00 00 00 00 00 00 
21.2318		13	6		00 00 00 00 00 00 
21.2319		17	6		00 00 00 00 00 00 
21.2319		14	6		00 00 00 00 00 00 
21.232		10	6		00 00 00 00 00 00 
21.2415		10	6		00 00 00 00 00 00 
21.2418		13	6		00 00 00 00 00 00 
21.2419		14	6		00 00 00 00 00 00 
21.2422		17	6		00 00 00 00 00 00 
21.2517		10	6		00 00 00 00 00 00 
21.252		17	6		00 00 00 00 00 00 
